zip,city,state_name,active
03104,Service Area,US,yes
03106,Service Area,US,yes
03109,Service Area,US,yes
03110,Service Area,US,yes
03215,Service Area,US,yes
03216,Service Area,US,yes
03217,Service Area,US,yes
03218,Service Area,US,yes
03220,Service Area,US,yes
03221,Service Area,US,yes
03222,Service Area,US,yes
03223,Service Area,US,yes
03224,Service Area,US,yes
03225,Service Area,US,yes
03226,Service Area,US,yes
03227,Service Area,US,yes
03229,Service Area,US,yes
03230,Service Area,US,yes
03231,Service Area,US,yes
03233,Service Area,US,yes
03234,Service Area,US,yes
03235,Service Area,US,yes
03237,Service Area,US,yes
03238,Service Area,US,yes
03240,Service Area,US,yes
03241,Service Area,US,yes
03242,Service Area,US,yes
03243,Service Area,US,yes
03244,Service Area,US,yes
03245,Service Area,US,yes
03246,Service Area,US,yes
03249,Service Area,US,yes
03253,Service Area,US,yes
03254,Service Area,US,yes
03255,Service Area,US,yes
03256,Service Area,US,yes
03257,Service Area,US,yes
03258,Service Area,US,yes
03259,Service Area,US,yes
03260,Service Area,US,yes
03261,Service Area,US,yes
03262,Service Area,US,yes
03263,Service Area,US,yes
03264,Service Area,US,yes
03266,Service Area,US,yes
03268,Service Area,US,yes
03269,Service Area,US,yes
03273,Service Area,US,yes
03275,Service Area,US,yes
03276,Service Area,US,yes
03278,Service Area,US,yes
03279,Service Area,US,yes
03280,Service Area,US,yes
03281,Service Area,US,yes
03282,Service Area,US,yes
03284,Service Area,US,yes
03285,Service Area,US,yes
03287,Service Area,US,yes
03290,Service Area,US,yes
03291,Service Area,US,yes
03293,Service Area,US,yes
03301,Service Area,US,yes
03303,Service Area,US,yes
03304,Service Area,US,yes
03307,Service Area,US,yes
03431,Service Area,US,yes
03440,Service Area,US,yes
03441,Service Area,US,yes
03442,Service Area,US,yes
03443,Service Area,US,yes
03444,Service Area,US,yes
03445,Service Area,US,yes
03446,Service Area,US,yes
03447,Service Area,US,yes
03448,Service Area,US,yes
03449,Service Area,US,yes
03450,Service Area,US,yes
03451,Service Area,US,yes
03452,Service Area,US,yes
03455,Service Area,US,yes
03456,Service Area,US,yes
03457,Service Area,US,yes
03458,Service Area,US,yes
03461,Service Area,US,yes
03462,Service Area,US,yes
03464,Service Area,US,yes
03465,Service Area,US,yes
03466,Service Area,US,yes
03467,Service Area,US,yes
03470,Service Area,US,yes
03601,Service Area,US,yes
03602,Service Area,US,yes
03603,Service Area,US,yes
03604,Service Area,US,yes
03605,Service Area,US,yes
03607,Service Area,US,yes
03608,Service Area,US,yes
03609,Service Area,US,yes
03741,Service Area,US,yes
03743,Service Area,US,yes
03745,Service Area,US,yes
03746,Service Area,US,yes
03748,Service Area,US,yes
03750,Service Area,US,yes
03751,Service Area,US,yes
03752,Service Area,US,yes
03753,Service Area,US,yes
03754,Service Area,US,yes
03755,Service Area,US,yes
03766,Service Area,US,yes
03768,Service Area,US,yes
03770,Service Area,US,yes
03773,Service Area,US,yes
03777,Service Area,US,yes
03781,Service Area,US,yes
03782,Service Area,US,yes
03784,Service Area,US,yes
03801,Service Area,US,yes
03809,Service Area,US,yes
03810,Service Area,US,yes
03811,Service Area,US,yes
03813,Service Area,US,yes
03814,Service Area,US,yes
03816,Service Area,US,yes
03817,Service Area,US,yes
03819,Service Area,US,yes
03820,Service Area,US,yes
03823,Service Area,US,yes
03824,Service Area,US,yes
03825,Service Area,US,yes
03826,Service Area,US,yes
03827,Service Area,US,yes
03830,Service Area,US,yes
03832,Service Area,US,yes
03833,Service Area,US,yes
03835,Service Area,US,yes
03836,Service Area,US,yes
03837,Service Area,US,yes
03838,Service Area,US,yes
03839,Service Area,US,yes
03840,Service Area,US,yes
03841,Service Area,US,yes
03842,Service Area,US,yes
03844,Service Area,US,yes
03845,Service Area,US,yes
03846,Service Area,US,yes
03847,Service Area,US,yes
03848,Service Area,US,yes
03849,Service Area,US,yes
03850,Service Area,US,yes
03851,Service Area,US,yes
03852,Service Area,US,yes
03853,Service Area,US,yes
03854,Service Area,US,yes
03855,Service Area,US,yes
03856,Service Area,US,yes
03857,Service Area,US,yes
03858,Service Area,US,yes
03860,Service Area,US,yes
03861,Service Area,US,yes
03862,Service Area,US,yes
03864,Service Area,US,yes
03865,Service Area,US,yes
03867,Service Area,US,yes
03868,Service Area,US,yes
03869,Service Area,US,yes
03870,Service Area,US,yes
03871,Service Area,US,yes
03872,Service Area,US,yes
03873,Service Area,US,yes
03874,Service Area,US,yes
03875,Service Area,US,yes
03878,Service Area,US,yes
03882,Service Area,US,yes
03883,Service Area,US,yes
03884,Service Area,US,yes
03885,Service Area,US,yes
03886,Service Area,US,yes
03887,Service Area,US,yes
03890,Service Area,US,yes
03894,Service Area,US,yes
03901,Service Area,US,yes
03902,Service Area,US,yes
03903,Service Area,US,yes
03904,Service Area,US,yes
03905,Service Area,US,yes
03906,Service Area,US,yes
03907,Service Area,US,yes
03908,Service Area,US,yes
03909,Service Area,US,yes
03910,Service Area,US,yes
03911,Service Area,US,yes
04001,Service Area,US,yes
04002,Service Area,US,yes
04003,Service Area,US,yes
04005,Service Area,US,yes
04006,Service Area,US,yes
04011,Service Area,US,yes
04015,Service Area,US,yes
04017,Service Area,US,yes
04019,Service Area,US,yes
04020,Service Area,US,yes
04021,Service Area,US,yes
04022,Service Area,US,yes
04024,Service Area,US,yes
04027,Service Area,US,yes
04029,Service Area,US,yes
04030,Service Area,US,yes
04032,Service Area,US,yes
04037,Service Area,US,yes
04038,Service Area,US,yes
04039,Service Area,US,yes
04041,Service Area,US,yes
04042,Service Area,US,yes
04043,Service Area,US,yes
04046,Service Area,US,yes
04047,Service Area,US,yes
04048,Service Area,US,yes
04049,Service Area,US,yes
04050,Service Area,US,yes
04056,Service Area,US,yes
04061,Service Area,US,yes
04062,Service Area,US,yes
04063,Service Area,US,yes
04064,Service Area,US,yes
04066,Service Area,US,yes
04068,Service Area,US,yes
04069,Service Area,US,yes
04071,Service Area,US,yes
04072,Service Area,US,yes
04073,Service Area,US,yes
04074,Service Area,US,yes
04076,Service Area,US,yes
04079,Service Area,US,yes
04083,Service Area,US,yes
04084,Service Area,US,yes
04085,Service Area,US,yes
04087,Service Area,US,yes
04090,Service Area,US,yes
04091,Service Area,US,yes
04092,Service Area,US,yes
04093,Service Area,US,yes
04095,Service Area,US,yes
04096,Service Area,US,yes
04097,Service Area,US,yes
04101,Service Area,US,yes
04102,Service Area,US,yes
04103,Service Area,US,yes
04105,Service Area,US,yes
04106,Service Area,US,yes
04107,Service Area,US,yes
04108,Service Area,US,yes
04109,Service Area,US,yes
04110,Service Area,US,yes
04210,Service Area,US,yes
04222,Service Area,US,yes
04240,Service Area,US,yes
04250,Service Area,US,yes
04252,Service Area,US,yes
04256,Service Area,US,yes
04258,Service Area,US,yes
04260,Service Area,US,yes
04270,Service Area,US,yes
04274,Service Area,US,yes
05001,Service Area,US,yes
05031,Service Area,US,yes
05032,Service Area,US,yes
05034,Service Area,US,yes
05035,Service Area,US,yes
05037,Service Area,US,yes
05043,Service Area,US,yes
05045,Service Area,US,yes
05048,Service Area,US,yes
05052,Service Area,US,yes
05053,Service Area,US,yes
05055,Service Area,US,yes
05056,Service Area,US,yes
05058,Service Area,US,yes
05059,Service Area,US,yes
05062,Service Area,US,yes
05065,Service Area,US,yes
05067,Service Area,US,yes
05068,Service Area,US,yes
05071,Service Area,US,yes
05075,Service Area,US,yes
05084,Service Area,US,yes
05089,Service Area,US,yes
05091,Service Area,US,yes
05101,Service Area,US,yes
05141,Service Area,US,yes
05142,Service Area,US,yes
05143,Service Area,US,yes
05146,Service Area,US,yes
05148,Service Area,US,yes
05149,Service Area,US,yes
05150,Service Area,US,yes
05151,Service Area,US,yes
05152,Service Area,US,yes
05153,Service Area,US,yes
05154,Service Area,US,yes
05155,Service Area,US,yes
05156,Service Area,US,yes
05158,Service Area,US,yes
05161,Service Area,US,yes
05201,Service Area,US,yes
05250,Service Area,US,yes
05251,Service Area,US,yes
05252,Service Area,US,yes
05253,Service Area,US,yes
05254,Service Area,US,yes
05255,Service Area,US,yes
05257,Service Area,US,yes
05260,Service Area,US,yes
05261,Service Area,US,yes
05262,Service Area,US,yes
05301,Service Area,US,yes
05340,Service Area,US,yes
05341,Service Area,US,yes
05342,Service Area,US,yes
